73.4863,59.6313
73.4863,59.6313
71.8079,59.082
71.8079,59.082
69.9158,58.6243
69.9158,58.6243
68.2678,57.7393
68.2678,57.7393
66.7419,57.1594
66.7419,57.1594
65.7654,56.4575
65.7654,56.4575
64.7583,55.6946
64.7583,55.6946
63.5376,54.2297
63.5376,54.2297
62.3779,53.1921
62.3779,53.1921
61.4014,51.9409
61.4014,51.9409
60.4248,50.8118
60.4248,50.8118
59.1736,49.8657
59.1736,49.8657
57.7698,48.7366
57.7698,48.7366
56.2439,47.4243
56.2439,47.4243
53.9856,45.6238
53.9856,45.6238
51.8494,44.4946
51.8494,44.4946
49.8352,43.335
49.8352,43.335
48.1262,42.8162
48.1262,42.8162
47.5159,42.8467
47.5159,42.8467
47.4548,43.1824
47.4548,43.1824
47.4548,44.22
47.4548,44.22
48.1567,44.7693
48.1567,44.7693
49.408,45.6238
49.408,45.6238
50.9033,46.2646
50.9033,46.2646
52.4292,46.2952
52.4292,46.2952
53.5889,45.7458
53.5889,45.7458
54.2297,44.9829
54.2297,44.9829
54.3213,43.5181
54.3213,43.5181
53.6194,41.748
53.6194,41.748
52.6123,39.6729
52.6123,39.6729
50.8728,37.7808
50.8728,37.7808
48.8892,35.8582
48.8892,35.8582
46.936,33.844
46.936,33.844
45.0745,32.2266
45.0745,32.2266
43.396,31.25
43.396,31.25
42.2668,30.3955
42.2668,30.3955
41.8396,29.8767
41.8396,29.8767
41.5955,29.6021
41.5955,29.6021
41.6565,29.6326
41.6565,29.6326
41.1377,29.3579
41.1377,29.3579
40.4053,28.8696
40.4053,28.8696
39.4287,27.8625
39.4287,27.8625
38.1775,26.947
38.1775,26.947
36.7126,25.4211
36.7126,25.4211
34.729,23.6206
34.729,23.6206
31.9519,21.1792
31.9519,21.1792
29.6021,18.3716
29.6021,18.3716
26.7334,15.9302
26.7334,15.9302
24.2004,13.3057
24.2004,13.3057
22.0337,10.9253
22.0337,10.9253
20.5383,8.91113
20.5383,8.91113
19.3481,7.01904
19.3481,7.01904
18.7683,5.88989
18.7683,5.88989
18.6157,5.21851
18.6157,5.21851
18.5547,4.73022
18.5547,4.73022
18.8293,4.73022
18.8293,4.73022
19.0735,4.24194
19.0735,4.24194
